L	a	b
65,9404	6,5067	18,1001
61,1657	10,4608	20,5939
58,0288	11,3021	17,4527
63,1134	11,3525	18,2689
66,0743	10,3605	17,3455
59,9189	10,3194	17,0243
65,5572	14,2481	16,9273
59,4840	16,3109	17,3001
63,5879	6,1683	20,1859
60,4321	9,1028	21,8169
65,9428	5,8946	15,6497
59,3100	11,7578	17,6211
56,8200	13,3956	15,3905
60,2613	12,7149	19,2655
61,6039	12,8973	16,3927
54,2361	13,1546	17,3618
64,4464	14,2045	14,1701
58,5649	15,7350	16,6985
63,1116	7,8517	17,9101
63,3582	7,8857	17,7876
67,2129	6,0797	14,5394
63,1202	8,9541	20,7018
56,1417	16,2855	15,6387
64,5682	8,1661	19,3226
62,5519	14,6562	16,0157
58,3591	13,1720	20,7301
64,3978	18,9577	17,1487
59,7943	14,8672	20,0026
61,6452	10,4535	18,0119
60,9586	9,8899	18,7429
64,7519	6,0504	16,0179
61,8501	9,1962	22,2549
55,3810	12,4251	15,9791
60,8515	10,6532	16,7233
60,9834	12,2024	16,0507
56,2179	11,4323	17,4533
67,9826	13,2612	13,3010
58,9625	15,4298	18,1976
62,8355	9,5907	19,8625
61,0610	8,4116	21,5571
65,3336	6,9640	18,1928
61,3908	10,3721	21,2483
61,8514	8,6895	13,1744
62,2058	10,6962	16,4825
65,2550	13,5447	14,9690
60,0624	15,8916	17,4083
70,2759	11,1871	21,8468
61,9636	10,2178	19,1738
58,3246	9,6591	20,1488
57,2507	10,1863	20,1981
63,7577	8,2545	17,1544
58,3450	11,2699	20,4793
52,8964	14,7914	16,2377
57,6961	11,4334	18,7193
62,0198	13,1899	16,3237
60,7019	10,3519	16,7499
58,4991	20,9072	14,5024
60,3719	15,8968	16,5006
60,2500	9,2920	21,3033
59,5587	7,6052	21,9014
65,1961	5,6008	19,5594
63,2697	8,0686	21,9656
52,9172	17,3930	15,9526
62,3453	10,0507	19,6556
62,8017	12,0548	17,1091
58,5482	10,9219	20,0951
59,9313	19,6914	14,1565
53,2530	21,6141	15,8615
63,6242	8,4989	21,7841
63,0284	7,1284	21,9259
68,6777	4,1850	15,8056
66,1507	7,2167	18,6671
63,1240	7,0540	14,8612
69,0958	6,3789	18,5846
68,5782	9,4322	16,4292
66,1876	8,1642	19,3422
63,9994	18,4430	15,9836
61,6054	13,3683	17,5422
60,5195	10,1000	21,3704
60,1167	8,6960	22,9066
62,4772	6,2557	20,4495
65,4206	6,8445	23,8919
60,3021	10,2134	17,4921
62,4359	9,5395	22,9143
63,7036	10,8798	19,2495
57,5989	11,3680	23,1689
69,0020	13,6105	21,9699
58,0492	17,3977	17,1582
62,3548	8,6842	21,2910
58,2839	8,7389	22,3092
63,5539	7,1169	20,1035
58,5188	9,7784	23,4225
62,4456	10,3919	18,2408
64,8224	8,0990	20,1372
65,8610	10,7873	16,2948
62,7960	10,5425	20,5223
66,9350	16,2293	18,3859
63,4944	12,8562	18,7611
68,9307	7,8650	18,5928
68,3354	5,9325	17,3591
70,6360	4,6953	15,2135
66,5393	7,0473	20,3433
62,9311	11,1286	16,0471
63,7217	10,4794	16,9519
63,4827	14,1264	14,3492
62,3543	11,7959	18,6122
65,9931	17,7123	19,4072
59,6206	14,2857	17,4312
58,4014	12,6702	21,1989
61,4505	9,6472	19,2689
61,0726	8,8978	18,4491
56,4256	11,8751	20,7090
56,2894	18,2677	17,1113
60,2355	13,9526	16,0933
57,6857	18,6470	15,7905
55,4121	16,6034	19,1442
63,6373	18,0745	16,5903
58,2310	16,8816	19,8183
60,7700	7,7592	19,4969
